google_url,establishment_url,scraped_item,ingredients,combined_score,attribute_scores
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',stuffed kishka,derma,0.34049314,"{'name': np.float32(0.19083849), 'ingredient_1': np.float32(0.25938824), 'ingredient_2': np.float32(0.2512167), 'ingredient_3': np.float32(0.2808075)}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',milk,,0.34049293,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',milk,,0.34049293,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',iced tea,,0.34047306,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',the rose cinnamon roll,"strawberry icing, freeze-dried strawberries",0.33991694,"{'name': np.float32(0.3531577), 'ingredient_1': np.float32(0.40246287), 'ingredient_2': np.float32(0.41550565), 'ingredient_3': np.float32(0.48495126)}"
'https://maps.google.com/?cid=13267085063722997148','http://www.travelerstable.com/',guava empanadas,"guava paste, cheddar cheese, spiced rum-caramel sauce, honey glaze, vanilla cream cheese filling",0.33981827,"{'name': np.float32(0.37440422), 'ingredient_1': np.float32(0.5030674), 'ingredient_2': np.float32(0.43110985), 'ingredient_3': np.float32(0.47895277)}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',fruit juice,,0.3379668,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',macaroni salad,,0.33759156,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',2 oz baked salmon or bs salad,,0.33753586,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',whitefish salad,,0.33737966,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',club salad,,0.33700454,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',hot oatmeal,,0.33685878,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',onion rings,,0.3367287,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',smoked old fashioned,"old forester bourbon, bitters, 16 hour smoked simple",0.33602658,"{'name': np.float32(0.38461053), 'ingredient_1': np.float32(0.39577395), 'ingredient_2': np.float32(0.4281376), 'ingredient_3': np.float32(0.33874702)}"
